"Date","AY","Fund_Code","Fund_Title","Fund_Title_Long","Fall_Original_Offers_Count","Fall_Original_Offers_Amount","Fall_Current_Offered_Count","Fall_Current_Offered_Amount","Fall_Offered_Count","Fall_Offered_Amount","Fall_Accepted_Count","Fall_Accepted_Amount","Fall_Original_Declined_Count","Fall_Declined_Amount","Fall_Cancelled_Count","Fall_Cancelled_Amount","Fall_Authorized_Count","Fall_Authorized_Amount","Fall_Paid_Count","Fall_Paid_Amount","Spring_Original_Offers_Count","Spring_Original_Offers_Amount","Spring_Current_Offered_Count","Spring_Current_Offered_Amount","Spring_Offered_Count","Spring_Offered_Amount","Spring_Accepted_Count","Spring_Accepted_Amount","Spring_Original_Declined_Count","Spring_Declined_Amount","Spring_Cancelled_Count","Spring_Cancelled_Amount","Spring_Authorized_Count","Spring_Authorized_Amount","Spring_Paid_Count","Spring_Paid_Amount","Summer_Original_Offers_Count","Summer_Original_Offers_Amount","Summer_Current_Offered_Count","Summer_Current_Offered_Amount","Summer_Offered_Count","Summer_Offered_Amount","Summer_Accepted_Count","Summer_Accepted_Amount","Summer_Original_Declined_Count","Summer_Declined_Amount","Summer_Cancelled_Count","Summer_Cancelled_Amount","Summer_Authorized_Count","Summer_Authorized_Amount","Summer_Paid_Count","Summer_Paid_Amount","Fund_Type","Fund_Source","Federal_Fund_ID","Fund_Cross_Reference","TOT_CURRENT_OFFERED_COUNT","TOT_CURRENT_OFFERED_AMOUNT","TOT_OFFERED_COUNT","TOT_OFFERED_AMOUNT","TOT_ACCEPTED_COUNT","TOT_ACCEPTED_AMOUNT","TOT_ORIGINAL_DECLINED_COUNT","TOT_DECLINED_AMOUNT","TOT_CANCELLED_COUNT","TOT_CANCELLED_AMOUNT","TOT_AUTHORIZED_COUNT","TOT_AUTHORIZED_AMOUNT","TOT_PAID_COUNT","TOT_PAID_AMOUNT"
"15-JUN-20","2021","15HOPE","HOPE Scholarship","HOPE Scholarship",2466,9461764,2388,9162244,78,0,2388,9162244,0,0,78,299520,0,0,0,0,2466,9461763,2388,9162243,78,0,2388,9162243,0,0,78,299520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Outside Scholarship","State Funding Source","","",4776,18324487,156,0,4776,18324487,0,0,156,599040,0,0,0,0
"15-JUN-20","1819","15HRTR","HOPE Scholarship","HOPE Scholarship",9,22477,4,1488,5,0,4,1488,0,0,5,11484,0,0,1,0,10,23593,4,1488,6,0,4,1488,0,0,6,11484,0,0,2,0,25,53841,24,92166,1,0,24,92166,0,0,1,496,0,0,24,92166,"Outside Scholarship","State Funding Source","","",32,95142,12,0,32,95142,0,0,12,23464,0,0,27,92166
"15-JUN-20","1819","16HERO","Georgia HERO Scholarship","Georgia HERO Scholarship",14,6889,14,14000,0,0,14,14000,0,0,0,0,0,0,14,14000,14,6888.77,14,13000,0,0,14,13000,0,0,0,0,0,0,13,13000,1,1000,1,1000,0,0,1,1000,0,0,0,0,0,0,1,1000,"Outside Scholarship","State Funding Source","","",29,28000,0,0,29,28000,0,0,0,0,0,0,28,28000
"15-JUN-20","1920","16HERO","Georgia HERO Scholarship","Georgia HERO Scholarship",18,8041,18,16861.06,0,0,18,16861.06,0,0,0,0,0,0,18,16861.06,18,8040.29,18,15749.97,0,0,18,15749.97,0,0,0,0,0,0,16,14749.97,3,1002,3,0,0,0,3,0,0,0,0,0,0,0,0,0,"Outside Scholarship","State Funding Source","","",39,32611.03,0,0,39,32611.03,0,0,0,0,0,0,34,31611.03
"15-JUN-20","1819","16LEPD","GA Public Safety Memorial Grnt","GA Public Safety Memorial Grnt",1,12563,1,12563,0,0,1,12563,0,0,0,0,0,0,1,12563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Outside Scholarship","State Funding Source","","",1,12563,0,0,1,12563,0,0,0,0,0,0,1,12563
"15-JUN-20","1819","16MSEE","Minority Scholarship Eng Educ","Minority Scholarship Eng Educ",14,12250,13,17500,1,0,13,17500,0,0,1,1750,0,0,11,17500,14,12250,13,21000,1,0,13,21000,0,0,1,0,0,0,13,21000,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,"Outside Scholarship","State Funding Source","","",27,38500,3,0,27,38500,0,0,3,1750,0,0,24,38500
"15-JUN-20","1920","16MSEE","Minority Scholarship Eng Educ","Minority Scholarship Eng Educ",3,5250,3,5250,0,0,3,5250,0,0,0,0,0,0,3,5250,3,5250,3,5250,0,0,3,5250,0,0,0,0,0,0,3,5250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Outside Scholarship","State Funding Source","","",6,10500,0,0,6,10500,0,0,0,0,0,0,6,10500
"15-JUN-20","1819","17MWRB","Dual Enrollment Books-UGA","Dual Enrollment Books-UGA",29,689.99,29,3417.52,0,0,29,3417.52,0,0,0,0,0,0,0,0,28,611.17,28,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Outside Scholarship","State Funding Source","","",57,3417.52,0,0,57,3417.52,0,0,0,0,0,0,0,0
"15-JUN-20","1920","17MWRB","Dual Enrollment Books-UGA","Dual Enrollment Books-UGA",1,25,1,50,0,0,1,50,0,0,0,0,0,0,0,0,1,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Outside Scholarship","State Funding Source","","",2,50,0,0,2,50,0,0,0,0,0,0,0,0
"15-JUN-20","1819","17MWRF","Dual Enrollment Fees","Dual Enrollment Fees",35,875,35,1500,0,0,35,1500,0,0,0,0,0,0,0,0,36,925,36,1650,0,0,36,1650,0,0,0,0,0,0,0,0,1,50,1,50,0,0,1,50,0,0,0,0,0,0,0,0,"Outside Scholarship","State Funding Source","","",72,3200,0,0,72,3200,0,0,0,0,0,0,0,0
"15-JUN-20","1920","17MWRF","Dual Enrollment Fees","Dual Enrollment Fees",52,1325,52,2150,0,0,52,2150,0,0,0,0,0,0,0,0,55,1450,55,2400,0,0,55,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Outside Scholarship","State Funding Source","","",107,4550,0,0,107,4550,0,0,0,0,0,0,0,0
"15-JUN-20","1819","17MWRS","Dual Enrollment Books-State","Dual Enrollment Books-State",35,2950,35,5000,0,0,35,5000,0,0,0,0,0,0,0,0,36,3075,36,4850,0,0,36,4850,0,0,0,0,0,0,0,0,1,75,1,75,0,0,1,75,0,0,0,0,0,0,0,0,"Outside Scholarship","State Funding Source","","",72,9925,0,0,72,9925,0,0,0,0,0,0,0,0
"15-JUN-20","1819","17MWRT","Dual Enrollment Tuition","Dual Enrollment Tuition",35,37824,35,63918,0,0,35,63918,0,0,0,0,0,0,0,0,36,39732,36,61692,0,0,36,61692,0,0,0,0,0,0,0,0,1,954,1,954,0,0,1,954,0,0,0,0,0,0,0,0,"Outside Scholarship","State Funding Source","","",72,126564,0,0,72,126564,0,0,0,0,0,0,0,0
"15-JUN-20","1920","17MWRT","Dual Enrollment Tuition","Dual Enrollment Tuition",52,62977,52,112257.52,0,0,52,112257.52,0,0,0,0,0,0,0,0,55,67392.04,55,109646.88,0,0,55,109646.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Outside Scholarship","State Funding Source","","",107,221904.4,0,0,107,221904.4,0,0,0,0,0,0,0,0
"15-JUN-20","1819","18RCH","REACH Scholarship","Realizing Educational Achievement Can Happen Scholarship",4,4375,4,5000,0,0,4,5000,0,0,0,0,0,0,4,5000,4,4375,4,5000,0,0,4,5000,0,0,0,0,0,0,4,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Outside Scholarship","State Funding Source","","",8,10000,0,0,8,10000,0,0,0,0,0,0,8,10000
"15-JUN-20","1920","18RCH","REACH Scholarship","Realizing Educational Achievement Can Happen Scholarship",8,10000,8,10000,0,0,8,10000,0,0,0,0,0,0,8,10000,11,13750,11,13750,0,0,11,13750,0,0,0,0,0,0,11,13750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Outside Scholarship","State Funding Source","","",19,23750,0,0,19,23750,0,0,0,0,0,0,19,23750
"15-JUN-20","1819","201062","Harris Scholarship","Harris Scholarship",55,26500,43,21500,12,0,43,21500,0,0,12,5000,0,0,44,21500,56,27000,42,20000,14,0,42,20000,0,0,14,5500,0,0,41,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",85,41500,26,0,85,41500,0,0,26,10500,0,0,85,41500
"15-JUN-20","1920","201062","Harris Scholarship","Harris Scholarship",51,24250,39,30500,12,0,39,30500,0,0,12,5000,0,0,38,18500,55,26250,43,32000,12,0,43,32000,0,0,12,5000,0,0,41,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",82,62500,24,0,82,62500,0,0,24,10000,0,0,79,48500
"15-JUN-20","2021","201062","Harris Scholarship","Harris Scholarship",18,18000,18,18000,0,0,18,18000,0,0,0,0,0,0,0,0,18,18000,18,18000,0,0,18,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",36,36000,0,0,36,36000,0,0,0,0,0,0,0,0
"15-JUN-20","1819","201149","Bradley Turner Scholarship","Bradley Turner Scholarship",3,16500,3,16500,0,0,3,16500,0,0,0,0,0,0,3,16500,3,16500,3,16500,0,0,3,16500,0,0,0,0,0,0,3,16500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",6,33000,0,0,6,33000,0,0,0,0,0,0,6,33000
"15-JUN-20","1920","201149","Bradley Turner Scholarship","Bradley Turner Scholarship",4,17050,4,22000,0,0,4,22000,0,0,0,0,0,0,4,22000,4,17050,4,22000,0,0,4,22000,0,0,0,0,0,0,4,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",8,44000,0,0,8,44000,0,0,0,0,0,0,8,44000
"15-JUN-20","1819","201171","Alumni Assoc Endowed Sch","Alumni Assoc Endowed Sch",4,7500,4,7500,0,0,4,7500,0,0,0,0,0,0,4,7500,4,7500,4,10000,0,0,4,10000,0,0,0,0,0,0,4,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","N1",8,17500,0,0,8,17500,0,0,0,0,0,0,8,17500
"15-JUN-20","1920","201171","Alumni Assoc Endowed Sch","Alumni Assoc Endowed Sch",4,5000,2,5000,2,0,2,5000,0,0,2,0,0,0,2,5000,4,5000,2,5000,2,0,2,5000,0,0,2,0,0,0,2,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","N1",4,10000,4,0,4,10000,0,0,4,0,0,0,4,10000
"15-JUN-20","1819","201177","Coca Cola First Gen Scholar","Coca Cola First Gen Scholar",3,5000,3,5000,0,0,3,5000,0,0,0,0,0,0,2,5000,3,5000,3,7500,0,0,3,7500,0,0,0,0,0,0,3,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","N1",6,12500,0,0,6,12500,0,0,0,0,0,0,5,12500
"15-JUN-20","1920","201177","Coca Cola First Gen Scholar","Coca Cola First Gen Scholar",2,5000,2,5000,0,0,2,5000,0,0,0,0,0,0,2,5000,1,2500,1,2500,0,0,1,2500,0,0,0,0,0,0,1,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","N1",3,7500,0,0,3,7500,0,0,0,0,0,0,3,7500
"15-JUN-20","1819","201178","Coca Cola First Gen Scholar 3","Coca Cola First Gen Scholar",52,90570,48,120000,4,0,48,120000,0,0,4,7500,0,0,48,120000,53,93069,48,120000,5,0,48,120000,0,0,5,12500,0,0,48,120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","N1",96,240000,9,0,96,240000,0,0,9,20000,0,0,96,240000
"15-JUN-20","1920","201178","Coca Cola First Gen Scholar 3","Coca Cola First Gen Scholar",38,70000,36,90000,2,0,36,90000,0,0,2,5000,0,0,36,90000,36,67500,34,85000,2,0,34,85000,0,0,2,5000,0,0,34,85000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","N1",70,175000,4,0,70,175000,0,0,4,10000,0,0,70,175000
"15-JUN-20","1920","201179","Coca Cola First Gen Scholar IV","Coca Cola First Generation Scholarship IV",12,30000,12,30000,0,0,12,30000,0,0,0,0,0,0,12,30000,12,30000,12,30000,0,0,12,30000,0,0,0,0,0,0,12,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",24,60000,0,0,24,60000,0,0,0,0,0,0,24,60000
"15-JUN-20","1819","201196","Drew Charter Scholarship","Drew Charter Scholarship",2,3500,2,5000,0,0,2,5000,0,0,0,0,0,0,2,5000,2,3500,2,5000,0,0,2,5000,0,0,0,0,0,0,2,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",4,10000,0,0,4,10000,0,0,0,0,0,0,4,10000
"15-JUN-20","1920","201196","Drew Charter Scholarship","Drew Charter Scholarship",2,3500,2,5000,0,0,2,5000,0,0,0,0,0,0,2,5000,2,3500,2,5000,0,0,2,5000,0,0,0,0,0,0,2,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",4,10000,0,0,4,10000,0,0,0,0,0,0,4,10000
"15-JUN-20","1819","201237","Baldwin Scholarship","Baldwin Scholarship",298,297500,120,120000,178,0,120,120000,0,0,178,176000,0,0,121,120000,299,298500,120,120000,179,0,120,120000,0,0,179,178000,0,0,120,120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",240,240000,357,0,240,240000,0,0,357,354000,0,0,241,240000
"15-JUN-20","1920","201237","Baldwin Scholarship","Baldwin Scholarship",131,130000,102,102000,29,0,102,102000,0,0,29,28000,0,0,101,100000,130,129000,101,101000,29,0,101,101000,0,0,29,28000,0,0,96,96000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",203,203000,58,0,203,203000,0,0,58,56000,0,0,197,196000
"15-JUN-20","2021","201237","Baldwin Scholarship","Baldwin Scholarship",93,93000,71,71000,22,0,71,71000,0,0,22,22000,0,0,0,0,93,93000,71,71000,22,0,71,71000,0,0,22,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",142,142000,44,0,142,142000,0,0,44,44000,0,0,0,0
"15-JUN-20","1819","20BRFW","Bernard Ramsey Honors Scholar","Bernard Ramsey Honors Scholar with Full Waiver",15,65428,13,68496,2,0,13,68496,0,0,2,10760,0,0,13,68496,15,65428,13,68496,2,0,13,68496,0,0,2,10760,0,0,13,68496,1,5080,1,5080,0,0,1,5080,0,0,0,0,0,0,1,5080,"UA Scholarship","UGA Funding Source","","",27,142072,4,0,27,142072,0,0,4,21520,0,0,27,142072
"15-JUN-20","1920","20BRFW","Bernard Ramsey Honors Scholar","Bernard Ramsey Honors Scholar with Full Waiver",31,158852,11,56494,20,0,11,56494,0,0,20,108186,0,0,11,56494,31,158852,11,56494,20,0,11,56494,0,0,20,108186,0,0,11,56494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",22,112988,40,0,22,112988,0,0,40,216372,0,0,22,112988
"15-JUN-20","2021","20BRFW","Bernard Ramsey Honors Scholar","Bernard Ramsey Honors Scholar with Full Waiver",17,99994,17,99994,0,0,17,99994,0,0,0,0,0,0,0,0,17,99994,17,99994,0,0,17,99994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",34,199988,0,0,34,199988,0,0,0,0,0,0,0,0
"15-JUN-20","1819","20BRNW","Bernard Ramsey Honors Scholar","Bernard Ramsey Honors Scholar",28,82192,23,72375,5,0,23,72375,0,0,5,16900,0,0,23,72375,28,82192,23,72375,5,0,23,72375,0,0,5,16900,0,0,23,72375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",46,144750,10,0,46,144750,0,0,10,33800,0,0,46,144750
"15-JUN-20","1920","20BRNW","Bernard Ramsey Honors Scholar","Bernard Ramsey Honors Scholar",56,179439,23,72068,33,0,23,72068,0,0,33,111771,0,0,23,72068,56,179359,23,72068,33,0,23,72068,0,0,33,111771,0,0,23,72068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",46,144136,66,0,46,144136,0,0,66,223542,0,0,46,144136
"15-JUN-20","2021","20BRNW","Bernard Ramsey Honors Scholar","Bernard Ramsey Honors Scholar",38,128706,38,128706,0,0,38,128706,0,0,0,0,0,0,0,0,38,128706,38,128706,0,0,38,128706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",76,257412,0,0,76,257412,0,0,0,0,0,0,0,0
"15-JUN-20","1819","20C2NW","Charter Scholarship","Charter Scholarship",610,449438,582,430500,28,0,582,430500,0,0,28,15188,0,0,578,430500,620,456937,581,416000,39,0,581,416000,0,0,39,17437,0,0,558,416000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",1163,846500,67,0,1163,846500,0,0,67,32625,0,0,1136,846500
"15-JUN-20","1920","20C2NW","Charter Scholarship","Charter Scholarship",381,283375,377,282750,4,0,377,282750,0,0,4,1500,0,0,375,277500,371,276125,367,271500,4,0,367,271500,0,0,4,1500,0,0,321,237750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",744,554250,8,0,744,554250,0,0,8,3000,0,0,696,515250
"15-JUN-20","1819","20C3NW","Charter Scholarship","Charter Scholarship",931,930000,281,281000,650,0,281,281000,0,0,650,649000,0,0,281,281000,936,932500,281,281000,655,0,281,281000,0,0,655,649500,0,0,281,281000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",562,562000,1305,0,562,562000,0,0,1305,1298500,0,0,562,562000
"15-JUN-20","1920","20C3NW","Charter Scholarship","Charter Scholarship",996,982000,450,449000,546,0,450,449000,0,0,546,538000,0,0,441,441000,1004,989500,460,459500,544,0,460,459500,0,0,544,536000,0,0,440,439000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",910,908500,1090,0,910,908500,0,0,1090,1074000,0,0,881,880000
"15-JUN-20","2021","20C3NW","Charter Scholarship","Charter Scholarship",695,695000,633,633000,62,0,633,633000,0,0,62,62000,0,0,0,0,695,695000,633,633000,62,0,633,633000,0,0,62,62000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",1266,1266000,124,0,1266,1266000,0,0,124,124000,0,0,0,0
"15-JUN-20","1819","20CHNW","Charter Scholarship","Charter Scholarship",3,1500,3,1500,0,0,3,1500,0,0,0,0,0,0,3,1500,1,500,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",4,1500,0,0,4,1500,0,0,0,0,0,0,3,1500
"15-JUN-20","1819","20CHPB","Chick-Fil-A Peach Bowl Sch","Chick-Fil-A Peach Bowl Scholarship",2,0,1,2000,1,0,1,2000,0,0,1,0,0,0,1,2000,2,0,1,2000,1,0,1,2000,0,0,1,0,0,0,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",2,4000,2,0,2,4000,0,0,2,0,0,0,2,4000
"15-JUN-20","1920","20CHPB","Chick-Fil-A Peach Bowl Sch","Chick-Fil-A Peach Bowl Scholarship",2,4000,2,4000,0,0,2,4000,0,0,0,0,0,0,2,4000,2,4000,2,2000,0,0,2,2000,0,0,0,0,0,0,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",4,6000,0,0,4,6000,0,0,0,0,0,0,3,6000
"15-JUN-20","1819","20CITY","Classic City Scholars Waiver","Classic City Scholars Waiver",11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,10,0,1,0,10,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",22,0,1,0,22,0,0,0,1,0,0,0,0,0
"15-JUN-20","1920","20CITY","Classic City Scholars Waiver","Classic City Scholars Waiver",67,0,12,0,55,0,12,0,0,0,55,0,0,0,0,0,67,0,12,0,55,0,12,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UA Scholarship","UGA Funding Source","","",24,0,110,0,24,0,0,0,110,0,0,0,0,0
